,x,y,Time
0,494,343,1593689858.394163
1,494,343,1593689858.4138722
2,494,343,1593689858.4159412
3,494,343,1593689858.417803
4,494,343,1593689858.4184792
5,494,343,1593689858.4191291
6,494,343,1593689858.4208992
7,494,343,1593689858.421616
8,494,343,1593689858.422348
9,494,343,1593689858.4230049
10,494,343,1593689858.4247859
11,494,343,1593689858.4255092
12,494,343,1593689858.426222
13,494,343,1593689858.427899
14,494,343,1593689858.428927
15,494,343,1593689858.429709
16,494,343,1593689858.430377
17,494,343,1593689858.431031
18,494,343,1593689858.432255
19,494,343,1593689858.434062
20,494,343,1593689858.43594
21,494,343,1593689858.436625
22,494,343,1593689858.4374158
23,494,343,1593689858.438105
24,494,343,1593689858.439848
25,494,343,1593689858.440524
26,494,343,1593689858.4412658
27,494,344,1593689858.44306
28,494,344,1593689858.443763
29,493,344,1593689858.444439
30,493,344,1593689858.445195
31,493,344,1593689858.447176
32,493,345,1593689858.449155
33,492,345,1593689858.4498508
34,492,345,1593689858.450568
35,492,345,1593689858.451328
36,492,345,1593689858.453172
37,492,346,1593689858.453936
38,492,346,1593689858.454713
39,492,346,1593689858.4553971
40,491,346,1593689858.457244
41,491,347,1593689858.458391
42,491,347,1593689858.459543
43,491,347,1593689858.460327
44,491,347,1593689858.462042
45,491,347,1593689858.462752
46,491,347,1593689858.463425
47,490,348,1593689858.465211
48,490,348,1593689858.465894
49,490,348,1593689858.466635
50,490,348,1593689858.4673028
51,490,348,1593689858.4690912
52,489,349,1593689858.469921
53,489,349,1593689858.4707031
54,489,349,1593689858.4713721
55,489,349,1593689858.473137
56,489,350,1593689858.473805
57,489,350,1593689858.474486
58,489,350,1593689858.476005
59,489,350,1593689858.476676
60,489,350,1593689858.4773178
61,489,351,1593689858.479088
62,488,351,1593689858.4799109
63,488,351,1593689858.480692
64,488,351,1593689858.4813461
65,488,351,1593689858.4831219
66,488,352,1593689858.4838789
67,488,352,1593689858.48473
68,488,352,1593689858.4854028
69,488,353,1593689858.487186
70,487,353,1593689858.4878862
71,487,353,1593689858.488631
72,487,353,1593689858.48929
73,487,354,1593689858.491078
74,487,354,1593689858.4917471
75,487,355,1593689858.4924212
76,487,355,1593689858.493975
77,487,355,1593689858.49464
78,487,355,1593689858.495285
79,487,355,1593689858.4970481
80,487,356,1593689858.497841
81,487,356,1593689858.4985988
82,487,356,1593689858.49933
83,487,357,1593689858.5011141
84,486,358,1593689858.501942
85,486,358,1593689858.5027251
86,486,358,1593689858.503389
87,486,359,1593689858.505161
88,486,359,1593689858.5058281
89,486,359,1593689858.5065038
90,486,360,1593689858.507984
91,486,360,1593689858.5086458
92,486,360,1593689858.509299
93,486,361,1593689858.5110679
94,485,362,1593689858.511842
95,485,362,1593689858.512576
96,485,362,1593689858.5133061
97,485,362,1593689858.5151901
98,485,363,1593689858.515929
99,485,363,1593689858.516672
100,485,363,1593689858.517331
101,485,363,1593689858.519111
102,485,363,1593689858.519775
